	Human	Haecon	Lv_support	SupportedBy	Identity	e_val
28	NP_005733.1	XGW33667.1	1	['B']	0.0	0.0
29	NP_005733.1	XGW33666.1	1	['B']	0.0	0.0
30	NP_787052.3	XGW19253.1	3	['O', 'S', 'B']	38.611	4.57e-150
31	NP_001189378.1	XGW09421.1	1	['S']	0.0	0.0
32	NP_001189378.1	XGW09420.1	1	['S']	0.0	0.0
33	NP_001189378.1	XGW32135.1	4	['O', 'S', 'F', 'B']	51.594	4.93e-108
34	NP_006031.2	XGW31832.1	2	['S', 'B']	46.84	8.99e-83
35	NP_006031.2	XGW31833.1	2	['S', 'B']	46.84	8.99e-83
36	NP_006031.2	XGW30748.1	2	['S', 'B']	46.468	1.99e-79
37	NP_006031.2	XGW30747.1	2	['S', 'B']	47.212	2.51e-81
38	NP_005062.1	XGW32312.1	2	['O', 'S']	43.918	2.4900000000000002e-133
39	NP_005062.1	XGW08512.1	1	['S']	49.476	5.88e-151
40	NP_005062.1	XGW08515.1	1	['S']	49.476	8.92e-151
41	NP_005062.1	XGW08520.1	1	['S']	49.476	7.25e-151
42	NP_005062.1	XGW12894.1	1	['S']	44.556	3.32e-131
43	NP_005062.1	XGW08517.1	1	['S']	49.476	8.16e-153
44	NP_005062.1	XGW27432.1	1	['S']	38.655	5.66e-110
45	NP_005062.1	XGW31322.1	1	['S']	43.649	3.05e-121
46	NP_005062.1	XGW08518.1	1	['S']	49.476	9.96e-151
47	NP_005062.1	XGW08519.1	1	['S']	49.476	7.399999999999999e-153
48	NP_005062.1	XGW32313.1	2	['O', 'S']	43.918	2.4900000000000002e-133
49	NP_005062.1	XGW08514.1	1	['S']	47.656	5.65e-152
50	NP_005062.1	XGW08513.1	1	['S']	47.656	4.15e-152
51	NP_005062.1	XGW08521.1	1	['S']	49.476	9.19e-151
52	NP_005062.1	XGW31323.1	1	['S']	42.977	1.3699999999999998e-128
53	NP_005062.1	XGW08516.1	1	['S']	49.476	9.72e-151
54	NP_001392415.1	XGW18602.1	1	['O']	42.567	1.14e-171
55	NP_001392415.1	XGW29463.1	3	['O', 'S', 'B']	47.132	0.0
56	NP_001392415.1	XGW18603.1	1	['O']	42.567	1.14e-171
57	NP_001351321.1	XGW22635.1	3	['O', 'S', 'F']	43.223	1.1100000000000001e-103
58	NP_001351321.1	XGW22636.1	3	['O', 'S', 'F']	43.223	1.1100000000000001e-103
59	NP_061949.3	XGW26410.1	1	['O']	25.142	2.4699999999999997e-40
60	NP_061949.3	XGW26426.1	1	['O']	28.632	1.0899999999999999e-41
61	NP_061949.3	XGW26404.1	1	['O']	25.72	8.879999999999999e-42
62	NP_061949.3	XGW26413.1	2	['O', 'S']	25.331	1.09e-43
63	NP_061949.3	XGW05292.1	2	['O', 'S']	27.047	1.5e-41
64	NP_061949.3	XGW26425.1	1	['O']	26.792	7.53e-39
65	NP_061949.3	XGW11869.1	1	['O']	25.352	6.62e-42
66	NP_061949.3	XGW26415.1	2	['O', 'S']	27.203	6.63e-45
67	NP_061949.3	XGW27367.1	1	['B']	23.226	7.11e-12
68	NP_061949.3	XGW11868.1	1	['O']	26.078	1.5700000000000002e-43
69	NP_061949.3	XGW11992.1	1	['O']	28.792	2.24e-45
70	NP_061949.3	XGW26417.1	1	['O']	26.422	2.23e-47
71	NP_061949.3	XGW26419.1	1	['O']	26.266	1.47e-45
72	NP_061949.3	XGW11993.1	1	['O']	28.792	1.57e-45
73	NP_061949.3	XGW01929.1	2	['O', 'S']	25.444	2.53e-51
74	NP_061949.3	XGW26165.1	2	['S', 'B']	32.292	3.94e-56
75	NP_061949.3	XGW26418.1	1	['O']	26.23	2.8199999999999996e-45
76	NP_061949.3	XGW26416.1	1	['O']	27.083	1.4099999999999998e-45
77	NP_061949.3	XGW11870.1	2	['O', 'S']	28.678	5.33e-41
78	NP_061949.3	XGW26164.1	3	['O', 'S', 'B']	26.815	2.76e-51
79	NP_061949.3	XGW27032.1	3	['O', 'S', 'B']	28.963	3.1199999999999996e-54
80	NP_061949.3	XGW27702.1	2	['O', 'B']	27.151	5.88e-42
81	NP_061949.3	XGW01930.1	2	['O', 'S']	25.444	2.53e-51
82	NP_061949.3	XGW11316.1	2	['S', 'F']	25.96	1.88e-46
83	NP_061949.3	XGW25310.1	1	['O']	28.15	1.86e-39
84	NP_061949.3	XGW26405.1	2	['O', 'S']	25.72	6.04e-42
85	NP_061949.3	XGW11866.1	1	['O']	27.105	6.45e-44
86	NP_061949.3	XGW27377.1	1	['B']	29.433	8.21e-34
87	NP_061949.3	XGW25934.1	2	['S', 'B']	26.218	1.5299999999999999e-34
88	NP_061949.3	XGW26421.1	1	['O']	25.703	3.99e-45
89	NP_061949.3	XGW26409.1	1	['O']	25.142	2.4e-40
90	NP_061949.3	XGW26423.1	2	['O', 'S']	28.491	2.41e-50
91	NP_061949.3	XGW11871.1	2	['O', 'S']	29.134	1.05e-39
92	NP_061949.3	XGW26420.1	1	['O']	26.326	1.11e-46
93	NP_061949.3	XGW26414.1	2	['O', 'S']	26.113	4.82e-40
94	NP_061949.3	XGW27370.1	2	['O', 'B']	26.692	3.58e-43
95	NP_061949.3	XGW25309.1	1	['O']	28.15	1.86e-39
96	NP_061949.3	XGW26424.1	1	['O']	28.03	6.01e-49
97	NP_061949.3	XGW26163.1	3	['O', 'S', 'B']	26.815	2.76e-51
98	NP_061949.3	XGW27369.1	2	['O', 'B']	26.692	3.58e-43
99	NP_061949.3	XGW25935.1	2	['S', 'B']	26.218	1.33e-34
100	NP_001347381.1	XGW06295.1	2	['O', 'S']	53.778	1.0100000000000001e-79
101	NP_001347381.1	XGW06296.1	2	['O', 'S']	54.222	2.52e-81
102	NP_001373816.1	XGW02761.1	2	['O', 'B']	26.236	2.2899999999999998e-48
103	NP_001373816.1	XGW02762.1	2	['O', 'B']	26.236	1.69e-48
104	NP_001373816.1	XGW02652.1	2	['O', 'B']	27.308	2.3e-49
105	NP_001373816.1	XGW02651.1	2	['O', 'B']	27.308	2.3e-49
106	NP_001373816.1	XGW16681.1	1	['S']	26.49	2.57e-63
107	NP_001373816.1	XGW16682.1	1	['S']	26.49	2.57e-63
108	NP_037436.1	XGW22422.1	2	['S', 'B']	34.545	7.05e-25
109	NP_037436.1	XGW22421.1	2	['S', 'B']	34.862	7.06e-25
110	NP_037436.1	XGW22420.1	2	['S', 'B']	34.862	1.19e-24
111	NP_660279.1	XGW11577.1	1	['S']	29.293	1.28e-16
112	NP_660279.1	XGW11581.1	1	['S']	30.808	3.34e-18
113	NP_660279.1	XGW17381.1	1	['S']	25.573	6.54e-12
114	NP_660279.1	XGW02106.1	1	['S']	28.351	3.03e-18
115	NP_660279.1	XGW17382.1	1	['S']	25.573	4.79e-12
116	NP_660279.1	XGW18717.1	1	['S']	31.05	2.5499999999999998e-24
117	NP_660279.1	XGW02104.1	1	['S']	26.222	4.81e-16
118	NP_660279.1	XGW02524.1	1	['S']	27.536	7.14e-15
119	NP_660279.1	XGW17380.1	1	['S']	25.095	5.88e-12
120	NP_660279.1	XGW17385.1	1	['S']	0.0	0.0
121	NP_660279.1	XGW14324.1	1	['S']	25.728	3.07e-12
122	NP_660279.1	XGW17383.1	1	['S']	25.573	2.71e-12
123	NP_660279.1	XGW02105.1	1	['S']	26.222	4.81e-16
124	NP_660279.1	XGW17384.1	1	['S']	0.0	0.0
125	NP_660279.1	XGW02525.1	1	['S']	27.32	7.16e-15
126	NP_660279.1	XGW11578.1	1	['S']	26.02	5.88e-13
127	NP_660279.1	XGW02108.1	1	['S']	24.609	1.51e-13
128	NP_660279.1	XGW11580.1	1	['S']	30.808	3.34e-18
129	NP_660279.1	XGW11944.1	1	['S']	29.293	2.06e-13
130	NP_660279.1	XGW02107.1	1	['S']	24.901	2.09e-15
131	NP_660279.1	XGW14323.1	1	['S']	25.728	2.64e-12
132	NP_660279.1	XGW11943.1	1	['S']	29.381	2.11e-13
133	NP_001373858.1	XGW02761.1	2	['O', 'B']	25.31	1.41e-49
134	NP_001373858.1	XGW02762.1	2	['O', 'B']	25.31	1.34e-49
135	NP_001373858.1	XGW02652.1	2	['O', 'B']	26.952	1.97e-50
136	NP_001373858.1	XGW02651.1	2	['O', 'B']	26.952	1.97e-50
137	NP_001373858.1	XGW16681.1	1	['S']	27.331	2.01e-48
138	NP_001373858.1	XGW16682.1	1	['S']	27.331	2.01e-48
139	NP_001400023.1	XGW32777.1	4	['O', 'S', 'F', 'B']	57.939	1.8600000000000002e-144
140	NP_001400023.1	XGW32776.1	4	['O', 'S', 'F', 'B']	56.216	3.81e-141
141	NP_003703.1	XGW07573.1	2	['O', 'S']	38.023	2.1799999999999998e-54
142	NP_003703.1	XGW07568.1	2	['O', 'S']	38.023	2.1799999999999998e-54
143	NP_003703.1	XGW05712.1	1	['O']	32.227	6.190000000000001e-27
144	NP_003703.1	XGW07570.1	2	['O', 'S']	38.023	2.2699999999999997e-54
145	NP_003703.1	XGW07571.1	2	['O', 'S']	38.023	2.4799999999999997e-54
146	NP_003703.1	XGW07572.1	2	['O', 'S']	38.023	9.219999999999999e-54
147	NP_003703.1	XGW07569.1	2	['O', 'S']	38.023	9.9e-55
148	NP_001305731.1	XGW21305.1	3	['S', 'F', 'B']	0.0	0.0
149	NP_001352606.1	XGW15606.1	3	['O', 'S', 'B']	41.3	2.2999999999999997e-140
150	NP_001352606.1	XGW28334.1	4	['O', 'S', 'F', 'B']	47.529	1.66e-160
151	NP_001352606.1	XGW15806.1	2	['O', 'B']	43.228	1.28e-92
152	NP_001352606.1	XGW15608.1	2	['O', 'B']	46.243	2.01e-102
153	NP_001352606.1	XGW15607.1	3	['O', 'S', 'B']	43.107	1.33e-144
154	NP_001352606.1	XGW15605.1	3	['O', 'S', 'B']	43.021	1.33e-150
155	NP_001352606.1	XGW28333.1	4	['O', 'S', 'F', 'B']	47.529	1.66e-160
156	NP_001337962.1	XGW16064.1	2	['O', 'S']	43.456	0.0
157	NP_001337962.1	XGW16063.1	2	['O', 'S']	43.456	0.0
158	NP_001373848.1	XGW02761.1	2	['O', 'B']	24.958	1.01e-49
159	NP_001373848.1	XGW02762.1	2	['O', 'B']	24.958	1.37e-49
160	NP_001373848.1	XGW02652.1	2	['O', 'B']	26.609	2.23e-50
161	NP_001373848.1	XGW02651.1	2	['O', 'B']	26.609	2.23e-50
162	NP_001373848.1	XGW16681.1	1	['S']	26.945	4.6699999999999993e-54
163	NP_001373848.1	XGW16682.1	1	['S']	26.945	4.6699999999999993e-54
164	NP_001363741.1	XGW07785.1	1	['S']	29.319	6.85e-18
165	NP_001363741.1	XGW07786.1	1	['S']	27.273	6.67e-19
166	NP_001363741.1	XGW07784.1	1	['S']	27.273	6.67e-19
167	NP_001338355.1	XGW15886.1	2	['S', 'B']	31.176	7.5e-39
168	NP_001338355.1	XGW15887.1	2	['S', 'B']	31.176	8.07e-39
169	NP_001177809.1	XGW15141.1	3	['O', 'S', 'B']	37.931	2.25e-59
170	NP_001177809.1	XGW15142.1	3	['O', 'S', 'B']	37.931	8.49e-60
171	NP_001374374.1	XGW22935.1	3	['O', 'S', 'B']	36.885	7.8e-41
172	NP_001374374.1	XGW22934.1	3	['O', 'S', 'B']	36.885	7.8e-41
173	NP_001305254.1	XGW24840.1	1	['O']	0.0	0.0
174	NP_001412194.1	XGW03781.1	2	['S', 'B']	47.126	6.6299999999999995e-84
175	NP_001412194.1	XGW03780.1	2	['S', 'B']	47.126	6.6299999999999995e-84
176	NP_001186196.1	XGW08411.1	1	['S']	40.426	7.68e-169
177	NP_001186196.1	XGW08412.1	1	['S']	40.212	6.870000000000001e-167
178	NP_000286.3	XGW30195.1	3	['O', 'S', 'B']	30.137	1.9300000000000002e-47
179	NP_000286.3	XGW30204.1	2	['O', 'S']	27.568	2.78e-32
180	NP_000286.3	XGW02181.1	3	['O', 'S', 'B']	28.255	1.27e-36
181	NP_000286.3	XGW05970.1	1	['S']	25.469	4.020000000000001e-27
182	NP_000286.3	XGW06869.1	2	['O', 'S']	27.616	7.510000000000001e-33
183	NP_000286.3	XGW05969.1	1	['S']	25.419	4.9599999999999995e-23
184	NP_000286.3	XGW30196.1	3	['O', 'S', 'B']	30.137	1.9300000000000002e-47
185	NP_000286.3	XGW30201.1	2	['O', 'S']	27.297	5.03e-32
186	NP_000286.3	XGW30207.1	2	['O', 'S']	27.568	2.78e-32
187	NP_000286.3	XGW30216.1	3	['O', 'S', 'B']	27.224	4.8e-41
188	NP_000286.3	XGW06870.1	2	['O', 'S']	27.616	7.510000000000001e-33
189	NP_000286.3	XGW30194.1	2	['O', 'S']	26.471	5.83e-28
190	NP_000286.3	XGW30213.1	2	['S', 'B']	25.786	9.52e-15
191	NP_000286.3	XGW30214.1	3	['O', 'S', 'B']	28.09	1.48e-41
192	NP_000286.3	XGW30205.1	2	['O', 'S']	27.297	5.03e-32
193	NP_000286.3	XGW30198.1	2	['O', 'S']	27.568	2.78e-32
194	NP_000286.3	XGW30193.1	3	['O', 'S', 'B']	30.11	9.73e-47
195	NP_000286.3	XGW30202.1	2	['O', 'S']	27.224	7.66e-32
196	NP_000286.3	XGW30208.1	2	['O', 'S']	27.297	5.03e-32
197	NP_000286.3	XGW30206.1	2	['O', 'S']	27.297	5.03e-32
198	NP_000286.3	XGW30215.1	3	['O', 'S', 'B']	26.786	7.8e-16
199	NP_000286.3	XGW30200.1	2	['O', 'S']	26.575	9.13e-30
200	NP_000286.3	XGW30197.1	2	['O', 'S']	27.297	6.74e-32
201	NP_000286.3	XGW30191.1	3	['O', 'S', 'B']	30.137	1.9300000000000002e-47
202	NP_000286.3	XGW30203.1	2	['O', 'S']	27.297	5.03e-32
203	NP_000286.3	XGW30192.1	2	['O', 'S']	26.923	2.35e-35
204	NP_000286.3	XGW30199.1	2	['O', 'S']	27.224	6.35e-32
205	NP_000286.3	XGW30219.1	3	['O', 'S', 'B']	27.933	4.8499999999999995e-45
206	NP_000286.3	XGW30218.1	3	['O', 'S', 'B']	27.933	4.8499999999999995e-45
207	NP_004473.2	XGW13339.1	1	['O']	39.936	2.4499999999999998e-142
208	NP_001336060.1	XGW11577.1	2	['S', 'B']	31.053	1.24e-21
209	NP_001336060.1	XGW11581.1	2	['S', 'B']	30.052	8.659999999999999e-23
210	NP_001336060.1	XGW17381.1	2	['S', 'B']	27.692	1.66e-18
211	NP_001336060.1	XGW02106.1	1	['S']	30.732	3.3700000000000004e-21
212	NP_001336060.1	XGW17382.1	2	['S', 'B']	27.692	2.1e-18
213	NP_001336060.1	XGW18717.1	2	['S', 'F']	27.953	2.37e-25
214	NP_001336060.1	XGW02104.1	3	['O', 'S', 'B']	26.866	1.81e-15
215	NP_001336060.1	XGW02524.1	3	['O', 'S', 'B']	29.577	4.73e-17
216	NP_001336060.1	XGW17380.1	2	['S', 'B']	27.692	1.96e-18
217	NP_001336060.1	XGW17385.1	1	['S']	0.0	0.0
218	NP_001336060.1	XGW14324.1	2	['S', 'B']	25.907	3.21e-15
219	NP_001336060.1	XGW17383.1	2	['S', 'B']	27.692	9.5e-19
220	NP_001336060.1	XGW02105.1	3	['O', 'S', 'B']	26.866	1.81e-15
221	NP_001336060.1	XGW17384.1	1	['S']	0.0	0.0
222	NP_001336060.1	XGW02525.1	2	['S', 'B']	30.457	2.77e-15
223	NP_001336060.1	XGW11578.1	2	['S', 'B']	30.0	1.06e-18
224	NP_001336060.1	XGW02108.1	2	['O', 'S']	24.576	1.83e-13
225	NP_001336060.1	XGW11580.1	2	['S', 'B']	30.052	8.659999999999999e-23
226	NP_001336060.1	XGW02107.1	2	['O', 'S']	25.322	2.15e-14
227	NP_001336060.1	XGW11944.1	2	['S', 'B']	25.532	5.83e-13
228	NP_001336060.1	XGW14323.1	2	['S', 'B']	25.907	3.21e-15
229	NP_001336060.1	XGW11943.1	2	['S', 'B']	25.532	6.96e-13
230	NP_001107644.1	XGW21917.1	3	['O', 'S', 'F']	26.222	5.539999999999999e-34
231	NP_001276046.1	XGW24871.1	2	['S', 'B']	27.976	5.22e-13
232	NP_001276046.1	XGW24875.1	2	['S', 'B']	29.167	8.59e-14
233	NP_001276046.1	XGW24870.1	2	['S', 'B']	27.976	5.9e-13
234	NP_001374616.1	XGW13753.1	1	['O']	0.0	0.0
235	NP_001374616.1	XGW22917.1	1	['O']	0.0	0.0
236	NP_001374616.1	XGW13764.1	1	['O']	0.0	0.0
237	NP_001374616.1	XGW22916.1	1	['O']	0.0	0.0
238	NP_001374616.1	XGW13765.1	1	['O']	0.0	0.0
239	NP_001374616.1	XGW31611.1	1	['O']	0.0	0.0
240	NP_036272.2	XGW15907.1	2	['S', 'B']	66.46	5.22e-76
241	NP_036272.2	XGW15906.1	2	['S', 'B']	63.905	9.67e-77
242	NP_001271224.1	XGW18217.1	3	['O', 'S', 'B']	27.435	2.1e-60
243	NP_001271224.1	XGW18215.1	3	['O', 'S', 'B']	27.497	2.1399999999999998e-60
244	NP_001271224.1	XGW18216.1	3	['O', 'S', 'B']	27.435	2.73e-60
245	NP_001139730.1	XGW15407.1	3	['O', 'S', 'B']	47.68	2.09e-125
246	NP_001139730.1	XGW15408.1	3	['O', 'S', 'B']	47.68	2.12e-125
247	NP_001138617.1	XGW18272.1	1	['B']	40.989	1.82e-72
248	NP_001138617.1	XGW12894.1	1	['B']	43.682	3.1299999999999997e-74
249	NP_001138617.1	XGW18271.1	1	['B']	40.989	1.82e-72
250	NP_001138617.1	XGW12895.1	1	['B']	43.682	4.14e-74
251	NP_001363183.1	XGW19218.1	1	['B']	0.0	0.0
252	NP_878912.1	XGW07601.1	1	['S']	0.0	0.0
253	NP_878912.1	XGW07602.1	1	['S']	0.0	0.0
254	NP_878912.1	XGW07603.1	1	['S']	0.0	0.0
255	NP_878912.1	XGW27622.1	2	['S', 'B']	48.438	1.2500000000000001e-58
256	NP_878912.1	XGW27621.1	2	['S', 'B']	46.569	7.67e-59
257	NP_878912.1	XGW23581.1	1	['S']	0.0	0.0
258	NP_878912.1	XGW04059.1	1	['B']	41.969	1.59e-43
259	NP_001265519.1	XGW26899.1	4	['O', 'S', 'F', 'B']	50.425	1.87e-114
260	NP_001193963.1	XGW16705.1	1	['B']	0.0	0.0
261	NP_001193963.1	XGW16734.1	3	['O', 'S', 'B']	38.138	2.02e-60
262	NP_001193963.1	XGW16735.1	3	['O', 'S', 'B']	38.138	1.9799999999999998e-60
263	NP_821074.1	XGW16516.1	2	['S', 'B']	45.455	4.8399999999999995e-23
264	NP_821074.1	XGW16517.1	2	['S', 'B']	45.455	4.8399999999999995e-23
265	NP_821074.1	XGW16518.1	3	['O', 'S', 'B']	45.455	5.409999999999999e-23
266	NP_001358975.1	XGW18337.1	4	['O', 'S', 'F', 'B']	27.897	1.84e-20
267	NP_001358975.1	XGW13463.1	4	['O', 'S', 'F', 'B']	26.357	5.929999999999999e-23
268	NP_001358975.1	XGW01661.1	2	['O', 'S']	31.132	4.03e-20
269	NP_085134.1	XGW32601.1	3	['O', 'S', 'B']	58.478	5.86e-119
270	NP_085134.1	XGW32602.1	3	['O', 'S', 'B']	58.478	5.86e-119
271	NP_003720.1	XGW08614.1	3	['O', 'S', 'F']	27.056	2.8400000000000003e-27
272	NP_003601.1	XGW20842.1	4	['O', 'S', 'F', 'B']	54.692	2.59e-136
273	NP_061114.2	XGW27512.1	1	['O']	37.405	3.05e-47
274	NP_061114.2	XGW09922.1	2	['O', 'S']	44.841	1.5200000000000001e-65
275	NP_061114.2	XGW27511.1	1	['O']	37.405	2.36e-47
276	NP_061114.2	XGW10648.1	1	['O']	44.167	2.63e-55
277	NP_003062.2	XGW23923.1	1	['B']	25.098	1.96e-12
278	NP_003062.2	XGW23922.1	1	['B']	25.098	1.88e-12
279	NP_003062.2	XGW23920.1	1	['B']	29.572	9.6e-16
280	NP_003062.2	XGW21090.1	1	['B']	33.333	7.85e-15
281	NP_003062.2	XGW28275.1	1	['B']	33.898	1.65e-17
282	NP_003062.2	XGW22218.1	1	['B']	33.659	2.96e-22
283	NP_003062.2	XGW29743.1	1	['B']	27.757	8.07e-16
284	NP_003062.2	XGW23640.1	1	['B']	31.25	9.82e-17
285	NP_003062.2	XGW21089.1	1	['B']	33.333	7.85e-15
286	NP_003062.2	XGW16424.1	1	['B']	25.869	5.4e-16
287	NP_003062.2	XGW16172.1	1	['B']	28.968	6.27e-19
288	NP_003062.2	XGW29746.1	1	['B']	27.757	8.27e-16
289	NP_003062.2	XGW29745.1	1	['B']	27.757	8.07e-16
290	NP_003062.2	XGW23639.1	1	['B']	31.25	1.01e-16
291	NP_003062.2	XGW21348.1	1	['B']	26.056	1.03e-13
292	NP_003062.2	XGW22219.1	1	['B']	33.659	2.96e-22
293	NP_003062.2	XGW03634.1	2	['S', 'F']	28.733	4.9899999999999995e-55
294	NP_003062.2	XGW29744.1	1	['B']	27.757	8.27e-16
295	NP_003062.2	XGW23921.1	1	['B']	29.572	8.31e-16
296	NP_003062.2	XGW28276.1	1	['B']	33.898	1.5e-17
297	NP_003062.2	XGW16171.1	1	['B']	28.968	6.27e-19
298	NP_001375030.1	XGW05975.1	1	['O']	27.011	1.58e-26
299	NP_001375030.1	XGW24017.1	2	['S', 'B']	38.857	9.03e-65
300	NP_001375030.1	XGW24018.1	2	['S', 'B']	38.857	6.85e-65
301	NP_001375030.1	XGW24016.1	2	['S', 'B']	39.143	5.53e-64
302	NP_001375030.1	XGW24015.1	2	['S', 'B']	39.143	4.75e-64
303	NP_001138423.1	XGW18545.1	2	['F', 'B']	0.0	0.0
304	NP_001138423.1	XGW18546.1	2	['F', 'B']	0.0	0.0
305	NP_001298240.1	XGW18049.1	3	['O', 'S', 'B']	32.432	1.7799999999999997e-24
306	NP_001298240.1	XGW18053.1	3	['O', 'S', 'B']	32.432	1.79e-24
307	NP_001244970.1	XGW30083.1	3	['O', 'S', 'B']	53.537	0.0
308	NP_001244970.1	XGW30084.1	3	['O', 'S', 'B']	54.217	1.4899999999999999e-176
309	NP_001244970.1	XGW30082.1	3	['O', 'S', 'B']	53.537	0.0
310	NP_000276.2	XGW19456.1	2	['S', 'B']	57.843	2.39e-127
311	NP_000276.2	XGW23583.1	1	['S']	25.216	4.6500000000000005e-27
312	NP_000276.2	XGW19455.1	4	['O', 'S', 'F', 'B']	53.878	6.62e-178
313	NP_000276.2	XGW19454.1	4	['O', 'S', 'F', 'B']	53.766	4.36e-176
314	NP_000276.2	XGW19453.1	3	['O', 'S', 'B']	53.347	3.83e-176
315	NP_000276.2	XGW19457.1	4	['O', 'S', 'F', 'B']	54.762	2.1099999999999998e-142
316	NP_000276.2	XGW19458.1	4	['O', 'S', 'F', 'B']	54.088	1.49e-178
317	NP_000276.2	XGW19459.1	4	['O', 'S', 'F', 'B']	54.088	1.49e-178
318	NP_008825.4	XGW23743.1	3	['O', 'S', 'B']	43.636	2.54e-139
319	NP_008825.4	XGW01640.1	1	['O']	37.205	3.1000000000000002e-124
320	NP_008825.4	XGW23744.1	3	['O', 'S', 'B']	43.636	1.86e-139
321	NP_008825.4	XGW01643.1	2	['O', 'S']	37.074	3.1500000000000006e-123
322	NP_008825.4	XGW01639.1	1	['O']	37.205	3.1000000000000002e-124
323	NP_008825.4	XGW28477.1	3	['O', 'S', 'B']	39.171	3.69e-107
324	NP_008825.4	XGW28480.1	3	['O', 'S', 'B']	41.502	4.16e-139
325	NP_008825.4	XGW28479.1	3	['O', 'S', 'B']	41.916	2.64e-141
326	NP_008825.4	XGW01641.1	1	['O']	37.205	7.31e-125
327	NP_008825.4	XGW01642.1	2	['O', 'S']	37.074	3.1500000000000006e-123
328	NP_001356431.1	XGW05856.1	1	['O']	30.398	1.63e-30
329	NP_001356431.1	XGW12345.1	2	['O', 'B']	29.677	2.99e-26
330	NP_001356431.1	XGW35802.1	2	['S', 'B']	41.631	6.3e-45
331	NP_001356431.1	XGW35801.1	2	['S', 'B']	41.631	6.3e-45
332	NP_001356431.1	XGW05855.1	1	['O']	30.398	1.63e-30
333	NP_001356431.1	XGW29624.1	2	['O', 'B']	29.815	2.32e-32
334	NP_001356431.1	XGW11548.1	1	['S']	29.052	1.6500000000000002e-26
335	NP_001356431.1	XGW29638.1	1	['B']	31.193	1.8700000000000002e-32
336	NP_001356431.1	XGW29623.1	1	['B']	28.796	1.1100000000000001e-29
337	NP_001356431.1	XGW29622.1	1	['B']	29.319	1.74e-31
338	NP_001356431.1	XGW29637.1	1	['B']	33.468	9.000000000000001e-29
339	NP_066580.1	XGW02761.1	2	['O', 'B']	24.958	5.66e-49
340	NP_066580.1	XGW02762.1	2	['O', 'B']	24.958	4.89e-49
341	NP_066580.1	XGW02652.1	2	['O', 'B']	26.69	8.06e-50
342	NP_066580.1	XGW02651.1	2	['O', 'B']	26.69	8.06e-50
343	NP_066580.1	XGW16681.1	1	['S']	26.544	6.04e-63
344	NP_066580.1	XGW16682.1	1	['S']	26.544	6.04e-63
345	NP_001365353.1	XGW22172.1	3	['O', 'S', 'B']	36.306	1.08e-56
346	NP_001365353.1	XGW22173.1	3	['O', 'S', 'B']	36.306	1e-56
347	NP_001371375.1	XGW17876.1	4	['O', 'S', 'F', 'B']	49.336	0.0
348	NP_001371375.1	XGW17875.1	4	['O', 'S', 'F', 'B']	49.336	0.0
349	NP_001371375.1	XGW13338.1	1	['O']	48.228	8.72e-164
350	NP_001371375.1	XGW13340.1	1	['O']	48.119	4.35e-163
351	NP_001373619.1	XGW09115.1	1	['O']	51.929	5.08e-116
