WormGEMid	GeneID1
NNNNNN	V3C99_000618
NNNNNN	V3C99_000622
NNNNNN	V3C99_000625
Y39G8B.1	V3C99_000626
let-756	V3C99_000627
znf-622	V3C99_000628
C16A3.6	V3C99_000629
NNNNNN	V3C99_000630
NNNNNN	V3C99_000632
NNNNNN	V3C99_000635
NNNNNN	V3C99_000636
NNNNNN	V3C99_000636
NNNNNN	V3C99_000636
NNNNNN	V3C99_000639
NNNNNN	V3C99_000640
NNNNNN	V3C99_000642
NNNNNN	V3C99_000643
NNNNNN	V3C99_000643
NNNNNN	V3C99_000643
NNNNNN	V3C99_000643
NNNNNN	V3C99_000643
NNNNNN	V3C99_000643
dyf-2	V3C99_000644
rps-13	V3C99_000646
nfx-1	V3C99_000647
NNNNNN	V3C99_000648
NNNNNN	V3C99_000650
zyg-8	V3C99_000657
mrps-34	V3C99_000660
NNNNNN	V3C99_000662
NNNNNN	V3C99_000663
NNNNNN	V3C99_000665
NNNNNN	V3C99_000666
NNNNNN	V3C99_000666
R05D3.2	V3C99_000668
Y71G10AR.4	V3C99_000669
met-2	V3C99_000670
NNNNNN	V3C99_000671
rbm-7	V3C99_000673
pxl-1	V3C99_000674
rib-2	V3C99_000675
ran-1	V3C99_000677
dkc-1	V3C99_000678
nhr-6	V3C99_000680
mre-11	V3C99_000681
ufc-1	V3C99_000682
mrpl-18	V3C99_000684
aman-2	V3C99_000685
rpl-24.2	V3C99_000687
F01F1.2	V3C99_000688
rilp-1	V3C99_000689
lipl-7	V3C99_000690
unc-103	V3C99_000691
NNNNNN	V3C99_000695
mtm-3	V3C99_000697
NNNNNN	V3C99_000699
unc-47	V3C99_000700
K01G5.8	V3C99_000701
dxbp-1	V3C99_000702
vps-53	V3C99_000703
F48F7.3	V3C99_000708
mapk-15	V3C99_000710
NNNNNN	V3C99_000711
NNNNNN	V3C99_000711
C18F10.7	V3C99_000712
hmg-1.2	V3C99_000713
F20H11.1	V3C99_000715
NNNNNN	V3C99_000716
sel-9	V3C99_000719
arrd-24	V3C99_000723
arrd-7	V3C99_000723
Y105E8B.7	V3C99_000724
cccp-1	V3C99_000725
NNNNNN	V3C99_000726
NNNNNN	V3C99_000726
NNNNNN	V3C99_000726
NNNNNN	V3C99_000726
NNNNNN	V3C99_000726
NNNNNN	V3C99_000730
tag-340	V3C99_000734
arl-5	V3C99_000736
NNNNNN	V3C99_000737
hlh-11	V3C99_000738
NNNNNN	V3C99_000739
stau-1	V3C99_000741
swsn-3	V3C99_000742
Y71H2AM.6	V3C99_000743
ZK632.14	V3C99_000744
NNNNNN	V3C99_000746
ZK1010.2	V3C99_000750
bckd-1A	V3C99_000751
dro-1	V3C99_000752
mrpl-51	V3C99_000753
ttm-1	V3C99_000754
ceh-13	V3C99_000768
lin-39	V3C99_000771
lig-4	V3C99_000772
NNNNNN	V3C99_000773
vglu-2	V3C99_000774
vglu-3	V3C99_000774
F23F12.3	V3C99_000776
F23F12.13	V3C99_000776
NNNNNN	V3C99_000778
sftb-1	V3C99_000779
T08A11.1	V3C99_000780
gex-4	V3C99_000781
NNNNNN	V3C99_000783
NNNNNN	V3C99_000784
usp-46	V3C99_000785
ZK632.2	V3C99_000786
hach-1	V3C99_000787
hum-5	V3C99_000788
cul-3	V3C99_000790
rpl-6	V3C99_000791
dcr-1	V3C99_000792
klp-15	V3C99_000793
NNNNNN	V3C99_000793
NNNNNN	V3C99_000795
NNNNNN	V3C99_000806
NNNNNN	V3C99_000807
C16C10.8	V3C99_000808
pgap-2	V3C99_000809
mrpl-16	V3C99_000810
blos-1	V3C99_000811
T20G5.9	V3C99_000812
sorf-2	V3C99_000815
NNNNNN	V3C99_000817
mrt-2	V3C99_000818
mig-10	V3C99_000819
NNNNNN	V3C99_000821
twk-39	V3C99_000822
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000823
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000829
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000830
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000832
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000835
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000837
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000838
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000839
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
NNNNNN	V3C99_000841
bcmo-1	V3C99_000842
bcmo-2	V3C99_000842
NNNNNN	V3C99_000844
NNNNNN	V3C99_000846
ZK353.9	V3C99_000869
cyy-1	V3C99_000871
obr-1	V3C99_000872
smg-6	V3C99_000873
NNNNNN	V3C99_000874
NNNNNN	V3C99_000875
sucl-2	V3C99_000877
NNNNNN	V3C99_000879
ddx-35	V3C99_000880
arx-4	V3C99_000881
ced-9	V3C99_000882
mev-1	V3C99_000883
tag-131	V3C99_000889
acr-21	V3C99_000891
F44E2.6	V3C99_000892
smu-2	V3C99_000893
NNNNNN	V3C99_000894
gcy-32	V3C99_000895
gcy-34	V3C99_000895
B0303.7	V3C99_000896
NNNNNN	V3C99_000898
NNNNNN	V3C99_000902
baz-2	V3C99_000904
upp-1	V3C99_000905
C27D8.1	V3C99_000906
Y39G8C.2	V3C99_000906
F53C3.1	V3C99_000906
par-3	V3C99_000907
C35D10.5	V3C99_000910
seb-2	V3C99_000911
NNNNNN	V3C99_000918
swt-4	V3C99_000922
Y39A1A.9	V3C99_000923
mrps-9	V3C99_000924
F23H11.4	V3C99_000925
F26F2.7	V3C99_000926
vnut-1	V3C99_000928
NNNNNN	V3C99_000929
mrpl-45	V3C99_000930
F56C9.10	V3C99_000934
gsp-2	V3C99_000935
sma-4	V3C99_000936
Y43F8C.6	V3C99_000937
NNNNNN	V3C99_000938
NNNNNN	V3C99_000955
NNNNNN	V3C99_000961
F13H10.3	V3C99_000962
col-14	V3C99_000964
prk-2	V3C99_000970
NNNNNN	V3C99_000971
NNNNNN	V3C99_000973
vps-36	V3C99_000974
fipp-1	V3C99_000975
NNNNNN	V3C99_000976
F48B9.8	V3C99_000978
abt-4	V3C99_000981
arx-6	V3C99_000982
arl-6	V3C99_000983
C35D10.1	V3C99_000983
pal-1	V3C99_000984
cyk-3	V3C99_000985
ZK418.5	V3C99_000987
NNNNNN	V3C99_000988
C05D11.5	V3C99_000989
NNNNNN	V3C99_000992
atgl-1	V3C99_000993
C05D11.8	V3C99_000994
popl-1	V3C99_000995
mrps-17	V3C99_000997
F44B9.8	V3C99_000999
hpr-9	V3C99_001000
emg-1	V3C99_001001
dhhc-4	V3C99_001002
unc-51	V3C99_001005
tufm-1	V3C99_001006
Y71H2AM.3	V3C99_001007
ZK370.4	V3C99_001011
elpc-3	V3C99_001014
NNNNNN	V3C99_001015
NNNNNN	V3C99_001026
T03F6.3	V3C99_001028
apc-2	V3C99_001029
grp-1	V3C99_001030
vms-1	V3C99_001031
idi-1	V3C99_001032
spcs-3	V3C99_001033
ida-1	V3C99_001034
cit-1.1	V3C99_001035
NNNNNN	V3C99_001036
thoc-2	V3C99_001037
cdk-8	V3C99_001039
NNNNNN	V3C99_001040
T07D3.4	V3C99_001045
W02B3.4	V3C99_001045
Y22D7AL.11	V3C99_001045
NNNNNN	V3C99_001046
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001048
NNNNNN	V3C99_001050
W09D10.4	V3C99_001053
W09D10.4	V3C99_001054
NNNNNN	V3C99_001057
tat-3	V3C99_001060
lec-6	V3C99_001064
lec-6	V3C99_001065
dpy-19	V3C99_001072
NNNNNN	V3C99_001073
T07D3.4	V3C99_001074
W02B3.4	V3C99_001074
Y22D7AL.11	V3C99_001074
NNNNNN	V3C99_001076
slo-2	V3C99_001080
mab-5	V3C99_001082
NNNNNN	V3C99_001091
set-16	V3C99_001092
cids-1	V3C99_001104
C02F5.3	V3C99_001105
C02F5.13	V3C99_001106
dpy-23	V3C99_001107
Y34D9A.7	V3C99_001115
trxr-2	V3C99_001116
tpk-1	V3C99_001117
unc-32	V3C99_001118
lin-9	V3C99_001119
NNNNNN	V3C99_001120
C35D10.12	V3C99_001121
fozi-1	V3C99_001122
Y46E12A.3	V3C99_001127
klp-20	V3C99_001128
ppk-2	V3C99_001129
dars-1	V3C99_001130
NNNNNN	V3C99_001131
NNNNNN	V3C99_001132
NNNNNN	V3C99_001133
NNNNNN	V3C99_001134
npp-25	V3C99_001136
pdr-1	V3C99_001137
lpd-7	V3C99_001138
rpl-9	V3C99_001139
alh-12	V3C99_001141
NNNNNN	V3C99_001142
mfsd-6	V3C99_001143
NNNNNN	V3C99_001147
mvk-1	V3C99_001163
NNNNNN	V3C99_001166
NNNNNN	V3C99_001167
NNNNNN	V3C99_001168
NNNNNN	V3C99_001169
NNNNNN	V3C99_001170
NNNNNN	V3C99_001170
NNNNNN	V3C99_001171
NNNNNN	V3C99_001172
ogt-1	V3C99_001174
rnp-7	V3C99_001175
nuo-4	V3C99_001175
NNNNNN	V3C99_001176
acs-4	V3C99_001177
mfsd-8	V3C99_001178
NNNNNN	V3C99_001181
Y105E8A.20	V3C99_001182
NNNNNN	V3C99_001189
NNNNNN	V3C99_001192
NNNNNN	V3C99_001193
NNNNNN	V3C99_001193
NNNNNN	V3C99_001193
glr-2	V3C99_001194
clpf-1	V3C99_001195
NNNNNN	V3C99_001196
NNNNNN	V3C99_001197
NNNNNN	V3C99_001197
doxa-1	V3C99_001198
nhl-1	V3C99_001199
ZK512.4	V3C99_001200
klp-19	V3C99_001201
ceh-10	V3C99_001203
polq-1	V3C99_001204
rev-3	V3C99_001205
NNNNNN	V3C99_001206
NNNNNN	V3C99_001207
mls-2	V3C99_001208
rom-1	V3C99_001212
NNNNNN	V3C99_001215
txbp-3	V3C99_001216
lon-3	V3C99_001218
rol-6	V3C99_001218
NNNNNN	V3C99_001219
NNNNNN	V3C99_001224
tra-1	V3C99_001226
dpy-18	V3C99_001230
dpy-18	V3C99_001231
npr-17	V3C99_001233
smrc-1	V3C99_001236
NNNNNN	V3C99_001237
C56A3.6	V3C99_001238
larp-1	V3C99_001239
nekl-4	V3C99_001240
let-765	V3C99_001241
set-1	V3C99_001242
T26A5.6	V3C99_001243
let-721	V3C99_001244
mel-32	V3C99_001245
ptr-9	V3C99_001246
sap-140	V3C99_001247
F10E9.11	V3C99_001250
NNNNNN	V3C99_001252
NNNNNN	V3C99_001254
egl-45	V3C99_001256
kcmf-1	V3C99_001258
NNNNNN	V3C99_001260
NNNNNN	V3C99_001261
mrpl-12	V3C99_001263
Y39A1A.22	V3C99_001264
Y39A1A.21	V3C99_001265
NNNNNN	V3C99_001266
NNNNNN	V3C99_001267
NNNNNN	V3C99_001268
mrpl-12	V3C99_001269
Y39A1A.22	V3C99_001270
NNNNNN	V3C99_001271
NNNNNN	V3C99_001272
aco-2	V3C99_001274
eef-1B.1	V3C99_001275
cua-1	V3C99_001280
cua-1	V3C99_001281
abcf-2	V3C99_001282
NNNNNN	V3C99_001283
ant-1.1	V3C99_001284
ant-1.2	V3C99_001284
ant-1.3	V3C99_001284
ant-1.4	V3C99_001284
gsto-2	V3C99_001285
gsto-1	V3C99_001285
C02D5.4	V3C99_001285
NNNNNN	V3C99_001286
maa-1	V3C99_001287
popl-5	V3C99_001288
nars-2	V3C99_001289
NNNNNN	V3C99_001290
NNNNNN	V3C99_001290
dnc-2	V3C99_001294
grk-2	V3C99_001303
C24A3.1	V3C99_001304
Y66D12A.21	V3C99_001305
tin-10	V3C99_001306
NNNNNN	V3C99_001307
NNNNNN	V3C99_001308
pdcd-2	V3C99_001311
ncl-1	V3C99_001314
rpb-8	V3C99_001315
rars-1	V3C99_001316
ZK512.2	V3C99_001318
NNNNNN	V3C99_001319
slc-17.2	V3C99_001320
brc-1	V3C99_001326
acs-19	V3C99_001327
pigt-1	V3C99_001329
clp-2	V3C99_001330
dscc-1	V3C99_001331
glr-1	V3C99_001332
NNNNNN	V3C99_001338
eat-4	V3C99_001342
byn-1	V3C99_001346
coq-2	V3C99_001347
rfc-2	V3C99_001348
flap-1	V3C99_001349
NNNNNN	V3C99_001350
C27F2.4	V3C99_001352
vps-22	V3C99_001353
C27F2.9	V3C99_001354
ntl-9	V3C99_001355
mrps-18C	V3C99_001356
fsn-1	V3C99_001357
rpb-2	V3C99_001358
cts-1	V3C99_001377
NNNNNN	V3C99_001379
NNNNNN	V3C99_001379
gldi-9	V3C99_001380
cnk-1	V3C99_001381
pad-2	V3C99_001381
R01H10.7	V3C99_001382
bbs-5	V3C99_001383
ina-1	V3C99_001385
tax-4	V3C99_001386
NNNNNN	V3C99_001389
NNNNNN	V3C99_001390
NNNNNN	V3C99_001391
slc-25A10	V3C99_001395
NNNNNN	V3C99_001396
Y67D2.5	V3C99_001399
cisd-3.2	V3C99_001400
rpc-11	V3C99_001401
NNNNNN	V3C99_001402
Y82E9BR.14	V3C99_001404
Y82E9BR.3	V3C99_001405
rsp-8	V3C99_001410
cwf-19L2	V3C99_001411
NNNNNN	V3C99_001413
pef-1	V3C99_001414
NNNNNN	V3C99_001416
wip-1	V3C99_001417
mdt-11	V3C99_001418
NNNNNN	V3C99_001419
R144.13	V3C99_001420
Y22D7AL.10	V3C99_001421
hsp-60	V3C99_001422
Y71H2AM.2	V3C99_001429
hipr-1	V3C99_001429
alkb-8	V3C99_001432
ears-2	V3C99_001433
rpn-13	V3C99_001434
let-767	V3C99_001435
stdh-1	V3C99_001435
stdh-3	V3C99_001435
NNNNNN	V3C99_001436
mua-3	V3C99_001437
NNNNNN	V3C99_001439
rps-28	V3C99_001441
elpc-2	V3C99_001442
hmg-3	V3C99_001443
hmg-4	V3C99_001443
scav-3	V3C99_001444
T20B12.7	V3C99_001447
mml-1	V3C99_001448
cah-1	V3C99_001449
cox-6A	V3C99_001452
scc-3	V3C99_001453
cox-6A	V3C99_001454
NNNNNN	V3C99_001460
sax-2	V3C99_001461
tbx-2	V3C99_001462
Y54H5A.2	V3C99_001463
NNNNNN	V3C99_001469
gcna-1	V3C99_001472
bbs-4	V3C99_001483
dgk-3	V3C99_001484
txdc-17	V3C99_001486
NNNNNN	V3C99_001487
Y71H2AM.1	V3C99_001488
asna-1	V3C99_001489
best-18	V3C99_001490
W02F12.2	V3C99_001490
rabx-5	V3C99_001493
gpdh-2	V3C99_001494
NNNNNN	V3C99_001498
abi-1	V3C99_001500
F54F2.9	V3C99_001501
pat-2	V3C99_001502
bub-1	V3C99_001504
act-1	V3C99_001505
act-2	V3C99_001505
act-3	V3C99_001505
act-4	V3C99_001505
prx-19	V3C99_001506
F54F2.7	V3C99_001507
unc-50	V3C99_001509
unc-69	V3C99_001510
C25G4.3	V3C99_001514
F44B9.5	V3C99_001515
NNNNNN	V3C99_001516
cct-6	V3C99_001517
ddx-23	V3C99_001518
mdt-15	V3C99_001519
NNNNNN	V3C99_001520
trp-2	V3C99_001523
ZK1236.1	V3C99_001524
C16E9.2	V3C99_001525
mmab-1	V3C99_001528
ula-1	V3C99_001529
div-1	V3C99_001531
rnp-5	V3C99_001532
dbn-1	V3C99_001533
Y39A1A.3	V3C99_001534
epg-6	V3C99_001535
metl-18	V3C99_001536
golg-4	V3C99_001537
isw-1	V3C99_001541
NNNNNN	V3C99_001542
wdr-4	V3C99_001543
cyld-1	V3C99_001546
Y108G3AL.2	V3C99_001548
Y108G3AL.2	V3C99_001550
rps-22	V3C99_001551
polh-1	V3C99_001552
NNNNNN	V3C99_001555
gpdh-2	V3C99_001557
rabx-5	V3C99_001558
NNNNNN	V3C99_001567
Y75B8A.7	V3C99_001568
bcl-7	V3C99_001569
zmp-1	V3C99_001570
NNNNNN	V3C99_001573
NNNNNN	V3C99_001574
svop-1	V3C99_001575
NNNNNN	V3C99_001576
mcm-3	V3C99_001581
Y39A3A.4	V3C99_001582
Y48G9A.9	V3C99_001582
rsks-1	V3C99_001584
cdh-4	V3C99_001587
NNNNNN	V3C99_001589
NNNNNN	V3C99_001592
let-504	V3C99_001593
NNNNNN	V3C99_001594
amdh-1	V3C99_001595
stt-3	V3C99_001596
NNNNNN	V3C99_001597
bcas-2	V3C99_001598
esyt-2	V3C99_001599
taf-12	V3C99_001605
NNNNNN	V3C99_001611
sel-13	V3C99_001612
ubxn-4	V3C99_001613
NNNNNN	V3C99_001618
NNNNNN	V3C99_001619
myo-6	V3C99_001623
hlh-8	V3C99_001624
cnd-1	V3C99_001625
NNNNNN	V3C99_001627
sgcb-1	V3C99_001630
C33G3.4	V3C99_001632
kap-1	V3C99_001634
toc-1	V3C99_001635
clk-1	V3C99_001636
M04B2.4	V3C99_001641
R12B2.2	V3C99_001642
NNNNNN	V3C99_001643
pde-12	V3C99_001646
sbsp-1	V3C99_001650
T28D6.6	V3C99_001657
NNNNNN	V3C99_001658
NNNNNN	V3C99_001665
NNNNNN	V3C99_001668
exoc-7	V3C99_001670
ndx-7	V3C99_001671
zfp-1	V3C99_001672
T05G5.5	V3C99_001673
NNNNNN	V3C99_001676
NNNNNN	V3C99_001677
NNNNNN	V3C99_001678
tat-1	V3C99_001680
NNNNNN	V3C99_001681
nca-2	V3C99_001682
NNNNNN	V3C99_001683
cnd-1	V3C99_001685
B0464.6	V3C99_001686
prp-3	V3C99_001687
pitp-1	V3C99_001689
pph-4.1	V3C99_001690
glrx-5	V3C99_001691
mrpl-36	V3C99_001692
ecps-1	V3C99_001693
smrd-1	V3C99_001694
NNNNNN	V3C99_001697
sel-15	V3C99_001700
R04F11.5	V3C99_001701
C45E5.1	V3C99_001702
K02D10.1	V3C99_001702
mtss-1	V3C99_001705
K02D10.1	V3C99_001706
snap-29	V3C99_001707
NNNNNN	V3C99_001708
NNNNNN	V3C99_001709
fars-1	V3C99_001710
