	WormGEMid	GeneID1
132	rpc-2	V3C99_000162
133	mlc-4	V3C99_000163
134	NNNNNN	V3C99_000164
137	elmd-1	V3C99_000165
138	tir-1	V3C99_000166
139	NNNNNN	V3C99_000167
140	spop-1	V3C99_000168
144	mpk-1	V3C99_000172
149	dagl-2	V3C99_000186
150	alh-11	V3C99_000187
151	chin-1	V3C99_000188
152	nra-4	V3C99_000189
155	Y50D7A.10	V3C99_000192
156	NNNNNN	V3C99_000193
157	ads-1	V3C99_000194
158	NNNNNN	V3C99_000195
159	NNNNNN	V3C99_000196
161	nmad-1	V3C99_000202
162	kin-18	V3C99_000203
163	nmad-1	V3C99_000204
165	NNNNNN	V3C99_000206
166	chc-1	V3C99_000207
167	pvf-1	V3C99_000208
168	rsp-3	V3C99_000213
169	rsp-3	V3C99_000214
171	NNNNNN	V3C99_000217
172	B0464.9	V3C99_000218
173	set-17	V3C99_000219
175	sbp-1	V3C99_000222
176	emb-30	V3C99_000223
177	pir-2	V3C99_000225
178	dhhc-8	V3C99_000226
179	Y73B6BL.29	V3C99_000227
180	cul-4	V3C99_000228
181	atx-2	V3C99_000231
182	gpch-1	V3C99_000241
183	prdx-3	V3C99_000242
184	rnp-4	V3C99_000243
185	snfc-5	V3C99_000244
186	NNNNNN	V3C99_000245
187	pac-1	V3C99_000247
191	NNNNNN	V3C99_000250
195	NNNNNN	V3C99_000252
199	NNNNNN	V3C99_000253
208	ima-2	V3C99_000261
209	NNNNNN	V3C99_000262
211	gbf-1	V3C99_000264
212	immp-1	V3C99_000265
213	C46F11.4	V3C99_000266
215	F17C8.9	V3C99_000277
216	him-18	V3C99_000279
217	NNNNNN	V3C99_000281
219	dac-1	V3C99_000283
220	NNNNNN	V3C99_000284
221	NNNNNN	V3C99_000285
223	cul-1	V3C99_000287
224	D2045.9	V3C99_000288
226	D2045.7	V3C99_000289
227	pes-4	V3C99_000290
228	hpo-10	V3C99_000291
249	F09G8.5	V3C99_000293
250	NNNNNN	V3C99_000294
251	ceh-44	V3C99_000295
253	ndua-8	V3C99_000296
254	rbc-2	V3C99_000297
255	NNNNNN	V3C99_000298
257	exos-9	V3C99_000299
259	pfd-5	V3C99_000300
260	NNNNNN	V3C99_000302
261	NNNNNN	V3C99_000303
262	NNNNNN	V3C99_000304
264	tkr-1	V3C99_000305
265	pdfr-1	V3C99_000306
266	C14B9.8	V3C99_000306
268	exos-8	V3C99_000309
269	R10E11.6	V3C99_000310
270	vha-2	V3C99_000311
271	vha-3	V3C99_000311
272	vha-1	V3C99_000312
273	sqv-3	V3C99_000313
287	NNNNNN	V3C99_000316
300	NNNNNN	V3C99_000319
304	NNNNNN	V3C99_000324
307	mcm-6	V3C99_000329
308	cor-1	V3C99_000331
309	NNNNNN	V3C99_000332
310	mrpl-30	V3C99_000334
313	W04B5.5	V3C99_000335
314	Y54F10BM.13	V3C99_000336
315	ppm-1.D	V3C99_000337
316	NNNNNN	V3C99_000338
317	NNNNNN	V3C99_000339
318	cct-5	V3C99_000341
319	atf-7	V3C99_000342
320	NNNNNN	V3C99_000343
321	dcn-1	V3C99_000345
322	mdt-21	V3C99_000346
323	dib-1	V3C99_000347
324	ran-2	V3C99_000348
326	NNNNNN	V3C99_000350
327	citk-2	V3C99_000350
329	cdd-2	V3C99_000351
331	Y75B8A.24	V3C99_000358
332	psme-3	V3C99_000362
333	Y66D12A.10	V3C99_000363
334	anp-1	V3C99_000364
335	NNNNNN	V3C99_000371
336	NNNNNN	V3C99_000372
337	rgr-1	V3C99_000373
338	NNNNNN	V3C99_000375
339	NNNNNN	V3C99_000376
340	rbg-3	V3C99_000377
341	rps-0	V3C99_000378
344	cox-6B	V3C99_000381
345	nduc-2	V3C99_000382
346	tbcc-1	V3C99_000383
347	NNNNNN	V3C99_000386
348	rps-5	V3C99_000387
349	mcm-5	V3C99_000388
354	T23G11.7	V3C99_000402
355	Y34B4A.2	V3C99_000402
356	vps-41	V3C99_000403
360	hsp-16.41	V3C99_000406
361	hsp-16.48	V3C99_000406
362	hsp-16.49	V3C99_000406
370	inf-1	V3C99_000408
371	mrpl-11	V3C99_000410
372	NNNNNN	V3C99_000414
373	gfi-3	V3C99_000415
374	such-1	V3C99_000415
375	ras-2	V3C99_000416
377	mrps-10	V3C99_000422
378	F42A10.9	V3C99_000423
379	NNNNNN	V3C99_000424
387	tbx-9	V3C99_000427
392	NNNNNN	V3C99_000430
393	mdt-19	V3C99_000431
395	NNNNNN	V3C99_000434
437	rml-1	V3C99_000456
439	NNNNNN	V3C99_000461
446	NNNNNN	V3C99_000471
447	NNNNNN	V3C99_000472
450	NNNNNN	V3C99_000476
452	NNNNNN	V3C99_000480
459	tyr-1	V3C99_000492
463	Y50D7A.13	V3C99_000498
464	NNNNNN	V3C99_000499
465	NNNNNN	V3C99_000501
469	nud-1	V3C99_000506
470	acaa-2	V3C99_000507
471	cya-1	V3C99_000508
479	NNNNNN	V3C99_000509
480	fbn-1	V3C99_000510
481	NNNNNN	V3C99_000511
482	NNNNNN	V3C99_000512
483	lonp-2	V3C99_000513
486	nud-1	V3C99_000516
487	cya-1	V3C99_000517
495	NNNNNN	V3C99_000518
496	wrn-1	V3C99_000519
502	NNNNNN	V3C99_000528
503	cnx-1	V3C99_000531
504	panl-3	V3C99_000532
505	NNNNNN	V3C99_000533
506	NNNNNN	V3C99_000534
507	NNNNNN	V3C99_000535
508	NNNNNN	V3C99_000536
509	NNNNNN	V3C99_000537
510	NNNNNN	V3C99_000538
511	NNNNNN	V3C99_000539
512	NNNNNN	V3C99_000540
513	NNNNNN	V3C99_000541
516	ckk-1	V3C99_000547
528	NNNNNN	V3C99_000558
529	vps-16	V3C99_000559
530	txdc-9	V3C99_000560
533	clec-149	V3C99_000569
534	NNNNNN	V3C99_000572
535	frm-8	V3C99_000573
538	NNNNNN	V3C99_000577
539	F40G9.17	V3C99_000578
540	sec-20	V3C99_000579
541	ubc-20	V3C99_000580
542	cox-17	V3C99_000580
543	mxl-2	V3C99_000581
545	NNNNNN	V3C99_000585
546	B0393.3	V3C99_000588
547	mat-3	V3C99_000589
549	C36E8.4	V3C99_000593
550	NNNNNN	V3C99_000594
551	hsp-25	V3C99_000595
552	rpc-1	V3C99_000596
553	ets-4	V3C99_000597
554	NNNNNN	V3C99_000598
555	NNNNNN	V3C99_000599
556	ubq-2	V3C99_000601
557	frg-1	V3C99_000602
558	let-711	V3C99_000603
559	rpn-6.1	V3C99_000604
560	riok-3	V3C99_000605
561	NNNNNN	V3C99_000606
562	lgc-42	V3C99_000607
565	ani-1	V3C99_000611
566	him-6	V3C99_000612
568	ZC262.2	V3C99_000614
569	NNNNNN	V3C99_000618
573	NNNNNN	V3C99_000622
578	NNNNNN	V3C99_000625
579	Y39G8B.1	V3C99_000626
581	let-756	V3C99_000627
582	znf-622	V3C99_000628
583	C16A3.6	V3C99_000629
584	NNNNNN	V3C99_000630
585	NNNNNN	V3C99_000632
586	NNNNNN	V3C99_000635
587	NNNNNN	V3C99_000636
588	NNNNNN	V3C99_000636
589	NNNNNN	V3C99_000636
591	NNNNNN	V3C99_000639
592	NNNNNN	V3C99_000640
593	NNNNNN	V3C99_000642
594	NNNNNN	V3C99_000643
595	NNNNNN	V3C99_000643
596	NNNNNN	V3C99_000643
597	NNNNNN	V3C99_000643
598	NNNNNN	V3C99_000643
600	NNNNNN	V3C99_000643
601	dyf-2	V3C99_000644
602	rps-13	V3C99_000646
603	nfx-1	V3C99_000647
604	NNNNNN	V3C99_000648
605	NNNNNN	V3C99_000650
653	zyg-8	V3C99_000657
654	mrps-34	V3C99_000660
655	NNNNNN	V3C99_000662
656	NNNNNN	V3C99_000663
657	NNNNNN	V3C99_000665
658	NNNNNN	V3C99_000666
659	NNNNNN	V3C99_000666
661	R05D3.2	V3C99_000668
662	Y71G10AR.4	V3C99_000669
663	met-2	V3C99_000670
664	NNNNNN	V3C99_000671
665	rbm-7	V3C99_000673
666	pxl-1	V3C99_000674
667	rib-2	V3C99_000675
668	ran-1	V3C99_000677
669	dkc-1	V3C99_000678
671	nhr-6	V3C99_000680
672	mre-11	V3C99_000681
673	ufc-1	V3C99_000682
675	mrpl-18	V3C99_000684
676	aman-2	V3C99_000685
678	rpl-24.2	V3C99_000687
679	F01F1.2	V3C99_000688
680	rilp-1	V3C99_000689
681	lipl-7	V3C99_000690
682	unc-103	V3C99_000691
683	NNNNNN	V3C99_000695
684	mtm-3	V3C99_000697
685	NNNNNN	V3C99_000699
686	unc-47	V3C99_000700
687	K01G5.8	V3C99_000701
688	dxbp-1	V3C99_000702
689	vps-53	V3C99_000703
694	F48F7.3	V3C99_000708
696	mapk-15	V3C99_000710
701	NNNNNN	V3C99_000711
703	NNNNNN	V3C99_000711
706	C18F10.7	V3C99_000712
707	hmg-1.2	V3C99_000713
708	F20H11.1	V3C99_000715
709	NNNNNN	V3C99_000716
710	sel-9	V3C99_000719
713	arrd-24	V3C99_000723
718	arrd-7	V3C99_000723
729	Y105E8B.7	V3C99_000724
730	cccp-1	V3C99_000725
731	NNNNNN	V3C99_000726
732	NNNNNN	V3C99_000726
733	NNNNNN	V3C99_000726
739	NNNNNN	V3C99_000726
740	NNNNNN	V3C99_000726
748	NNNNNN	V3C99_000730
751	tag-340	V3C99_000734
752	arl-5	V3C99_000736
753	NNNNNN	V3C99_000737
754	hlh-11	V3C99_000738
755	NNNNNN	V3C99_000739
756	stau-1	V3C99_000741
757	swsn-3	V3C99_000742
758	Y71H2AM.6	V3C99_000743
759	ZK632.14	V3C99_000744
760	NNNNNN	V3C99_000746
762	ZK1010.2	V3C99_000750
763	bckd-1A	V3C99_000751
765	dro-1	V3C99_000752
766	mrpl-51	V3C99_000753
767	ttm-1	V3C99_000754
773	ceh-13	V3C99_000768
774	lin-39	V3C99_000771
775	lig-4	V3C99_000772
776	NNNNNN	V3C99_000773
777	vglu-2	V3C99_000774
778	vglu-3	V3C99_000774
779	F23F12.3	V3C99_000776
780	F23F12.13	V3C99_000776
781	NNNNNN	V3C99_000778
782	sftb-1	V3C99_000779
783	T08A11.1	V3C99_000780
784	gex-4	V3C99_000781
785	NNNNNN	V3C99_000783
786	NNNNNN	V3C99_000784
787	usp-46	V3C99_000785
788	ZK632.2	V3C99_000786
789	hach-1	V3C99_000787
790	hum-5	V3C99_000788
791	cul-3	V3C99_000790
792	rpl-6	V3C99_000791
793	dcr-1	V3C99_000792
794	klp-15	V3C99_000793
795	NNNNNN	V3C99_000793
796	NNNNNN	V3C99_000795
814	NNNNNN	V3C99_000806
815	NNNNNN	V3C99_000807
816	C16C10.8	V3C99_000808
817	pgap-2	V3C99_000809
818	mrpl-16	V3C99_000810
819	blos-1	V3C99_000811
820	T20G5.9	V3C99_000812
822	sorf-2	V3C99_000815
823	NNNNNN	V3C99_000817
824	mrt-2	V3C99_000818
825	mig-10	V3C99_000819
826	NNNNNN	V3C99_000821
827	twk-39	V3C99_000822
828	NNNNNN	V3C99_000823
829	NNNNNN	V3C99_000823
830	NNNNNN	V3C99_000823
831	NNNNNN	V3C99_000823
834	NNNNNN	V3C99_000823
836	NNNNNN	V3C99_000823
837	NNNNNN	V3C99_000823
838	NNNNNN	V3C99_000823
859	NNNNNN	V3C99_000829
860	NNNNNN	V3C99_000829
861	NNNNNN	V3C99_000829
862	NNNNNN	V3C99_000829
865	NNNNNN	V3C99_000829
867	NNNNNN	V3C99_000829
868	NNNNNN	V3C99_000829
869	NNNNNN	V3C99_000829
870	NNNNNN	V3C99_000829
872	NNNNNN	V3C99_000829
873	NNNNNN	V3C99_000830
874	NNNNNN	V3C99_000830
875	NNNNNN	V3C99_000830
876	NNNNNN	V3C99_000830
879	NNNNNN	V3C99_000830
881	NNNNNN	V3C99_000830
882	NNNNNN	V3C99_000830
883	NNNNNN	V3C99_000830
889	NNNNNN	V3C99_000832
890	NNNNNN	V3C99_000832
891	NNNNNN	V3C99_000832
892	NNNNNN	V3C99_000832
895	NNNNNN	V3C99_000832
897	NNNNNN	V3C99_000832
898	NNNNNN	V3C99_000832
899	NNNNNN	V3C99_000832
900	NNNNNN	V3C99_000832
902	NNNNNN	V3C99_000832
903	NNNNNN	V3C99_000835
904	NNNNNN	V3C99_000835
905	NNNNNN	V3C99_000835
906	NNNNNN	V3C99_000835
909	NNNNNN	V3C99_000835
911	NNNNNN	V3C99_000835
912	NNNNNN	V3C99_000835
913	NNNNNN	V3C99_000835
914	NNNNNN	V3C99_000835
916	NNNNNN	V3C99_000835
918	NNNNNN	V3C99_000837
919	NNNNNN	V3C99_000837
920	NNNNNN	V3C99_000837
921	NNNNNN	V3C99_000837
924	NNNNNN	V3C99_000837
926	NNNNNN	V3C99_000837
927	NNNNNN	V3C99_000837
928	NNNNNN	V3C99_000837
932	NNNNNN	V3C99_000838
933	NNNNNN	V3C99_000838
934	NNNNNN	V3C99_000838
935	NNNNNN	V3C99_000838
938	NNNNNN	V3C99_000838
940	NNNNNN	V3C99_000838
941	NNNNNN	V3C99_000838
942	NNNNNN	V3C99_000838
946	NNNNNN	V3C99_000839
947	NNNNNN	V3C99_000839
948	NNNNNN	V3C99_000839
949	NNNNNN	V3C99_000839
952	NNNNNN	V3C99_000839
954	NNNNNN	V3C99_000839
955	NNNNNN	V3C99_000839
956	NNNNNN	V3C99_000839
957	NNNNNN	V3C99_000839
959	NNNNNN	V3C99_000839
960	NNNNNN	V3C99_000841
961	NNNNNN	V3C99_000841
962	NNNNNN	V3C99_000841
963	NNNNNN	V3C99_000841
966	NNNNNN	V3C99_000841
968	NNNNNN	V3C99_000841
969	NNNNNN	V3C99_000841
970	NNNNNN	V3C99_000841
971	NNNNNN	V3C99_000841
973	NNNNNN	V3C99_000841
974	bcmo-1	V3C99_000842
975	bcmo-2	V3C99_000842
977	NNNNNN	V3C99_000844
978	NNNNNN	V3C99_000846
1037	ZK353.9	V3C99_000869
1038	cyy-1	V3C99_000871
1039	obr-1	V3C99_000872
1040	smg-6	V3C99_000873
1041	NNNNNN	V3C99_000874
1042	NNNNNN	V3C99_000875
1048	sucl-2	V3C99_000877
1052	NNNNNN	V3C99_000879
1053	ddx-35	V3C99_000880
1055	arx-4	V3C99_000881
1056	ced-9	V3C99_000882
1057	mev-1	V3C99_000883
1063	tag-131	V3C99_000889
1064	acr-21	V3C99_000891
1065	F44E2.6	V3C99_000892
1066	smu-2	V3C99_000893
1067	NNNNNN	V3C99_000894
1068	gcy-32	V3C99_000895
1069	gcy-34	V3C99_000895
1071	B0303.7	V3C99_000896
1073	NNNNNN	V3C99_000898
1075	NNNNNN	V3C99_000902
1082	baz-2	V3C99_000904
1083	upp-1	V3C99_000905
1084	C27D8.1	V3C99_000906
1085	Y39G8C.2	V3C99_000906
1087	F53C3.1	V3C99_000906
1088	par-3	V3C99_000907
1089	C35D10.5	V3C99_000910
1090	seb-2	V3C99_000911
1093	NNNNNN	V3C99_000918
1094	swt-4	V3C99_000922
1095	Y39A1A.9	V3C99_000923
1096	mrps-9	V3C99_000924
1097	F23H11.4	V3C99_000925
1098	F26F2.7	V3C99_000926
1100	vnut-1	V3C99_000928
1101	NNNNNN	V3C99_000929
1102	mrpl-45	V3C99_000930
1105	F56C9.10	V3C99_000934
1106	gsp-2	V3C99_000935
1107	sma-4	V3C99_000936
1108	Y43F8C.6	V3C99_000937
1109	NNNNNN	V3C99_000938
1117	NNNNNN	V3C99_000955
1122	NNNNNN	V3C99_000961
1123	F13H10.3	V3C99_000962
1124	col-14	V3C99_000964
1126	prk-2	V3C99_000970
1127	NNNNNN	V3C99_000971
1128	NNNNNN	V3C99_000973
1129	vps-36	V3C99_000974
1130	fipp-1	V3C99_000975
1131	NNNNNN	V3C99_000976
1133	F48B9.8	V3C99_000978
1134	abt-4	V3C99_000981
1135	arx-6	V3C99_000982
1136	arl-6	V3C99_000983
1137	C35D10.1	V3C99_000983
1138	pal-1	V3C99_000984
1139	cyk-3	V3C99_000985
1140	ZK418.5	V3C99_000987
1141	NNNNNN	V3C99_000988
1142	C05D11.5	V3C99_000989
1143	NNNNNN	V3C99_000992
1144	atgl-1	V3C99_000993
1145	C05D11.8	V3C99_000994
1146	popl-1	V3C99_000995
1147	mrps-17	V3C99_000997
1149	F44B9.8	V3C99_000999
1150	hpr-9	V3C99_001000
1151	emg-1	V3C99_001001
1152	dhhc-4	V3C99_001002
1155	unc-51	V3C99_001005
1156	tufm-1	V3C99_001006
1157	Y71H2AM.3	V3C99_001007
1162	ZK370.4	V3C99_001011
1165	elpc-3	V3C99_001014
1166	NNNNNN	V3C99_001015
1189	NNNNNN	V3C99_001026
1190	T03F6.3	V3C99_001028
1191	apc-2	V3C99_001029
1192	grp-1	V3C99_001030
1193	vms-1	V3C99_001031
1194	idi-1	V3C99_001032
1195	spcs-3	V3C99_001033
1196	ida-1	V3C99_001034
1197	cit-1.1	V3C99_001035
1200	NNNNNN	V3C99_001036
1201	thoc-2	V3C99_001037
1207	cdk-8	V3C99_001039
1208	NNNNNN	V3C99_001040
1222	T07D3.4	V3C99_001045
1223	W02B3.4	V3C99_001045
1225	Y22D7AL.11	V3C99_001045
1231	NNNNNN	V3C99_001046
1243	NNNNNN	V3C99_001048
1245	NNNNNN	V3C99_001048
1246	NNNNNN	V3C99_001048
1247	NNNNNN	V3C99_001048
1248	NNNNNN	V3C99_001048
1249	NNNNNN	V3C99_001048
1251	NNNNNN	V3C99_001048
1253	NNNNNN	V3C99_001048
1254	NNNNNN	V3C99_001048
1256	NNNNNN	V3C99_001048
1257	NNNNNN	V3C99_001048
1258	NNNNNN	V3C99_001048
1259	NNNNNN	V3C99_001048
1260	NNNNNN	V3C99_001048
1264	NNNNNN	V3C99_001050
1265	W09D10.4	V3C99_001053
1266	W09D10.4	V3C99_001054
1268	NNNNNN	V3C99_001057
1270	tat-3	V3C99_001060
1272	lec-6	V3C99_001064
1273	lec-6	V3C99_001065
1276	dpy-19	V3C99_001072
1277	NNNNNN	V3C99_001073
1279	T07D3.4	V3C99_001074
1280	W02B3.4	V3C99_001074
1282	Y22D7AL.11	V3C99_001074
1283	NNNNNN	V3C99_001076
1284	slo-2	V3C99_001080
1285	mab-5	V3C99_001082
1286	NNNNNN	V3C99_001091
1287	set-16	V3C99_001092
1291	cids-1	V3C99_001104
1292	C02F5.3	V3C99_001105
1293	C02F5.13	V3C99_001106
1294	dpy-23	V3C99_001107
1296	Y34D9A.7	V3C99_001115
1297	trxr-2	V3C99_001116
1298	tpk-1	V3C99_001117
1299	unc-32	V3C99_001118
1300	lin-9	V3C99_001119
1304	NNNNNN	V3C99_001120
1305	C35D10.12	V3C99_001121
1306	fozi-1	V3C99_001122
1307	Y46E12A.3	V3C99_001127
1308	klp-20	V3C99_001128
1309	ppk-2	V3C99_001129
1310	dars-1	V3C99_001130
1311	NNNNNN	V3C99_001131
1312	NNNNNN	V3C99_001132
1313	NNNNNN	V3C99_001133
1314	NNNNNN	V3C99_001134
1315	npp-25	V3C99_001136
1316	pdr-1	V3C99_001137
1317	lpd-7	V3C99_001138
1318	rpl-9	V3C99_001139
1320	alh-12	V3C99_001141
1321	NNNNNN	V3C99_001142
1322	mfsd-6	V3C99_001143
1323	NNNNNN	V3C99_001147
1330	mvk-1	V3C99_001163
1332	NNNNNN	V3C99_001166
1333	NNNNNN	V3C99_001167
1334	NNNNNN	V3C99_001168
1335	NNNNNN	V3C99_001169
1336	NNNNNN	V3C99_001170
1337	NNNNNN	V3C99_001170
1339	NNNNNN	V3C99_001171
1341	NNNNNN	V3C99_001172
1345	ogt-1	V3C99_001174
1346	rnp-7	V3C99_001175
1347	nuo-4	V3C99_001175
1348	NNNNNN	V3C99_001176
1349	acs-4	V3C99_001177
1350	mfsd-8	V3C99_001178
1352	NNNNNN	V3C99_001181
1353	Y105E8A.20	V3C99_001182
1356	NNNNNN	V3C99_001189
1362	NNNNNN	V3C99_001192
1364	NNNNNN	V3C99_001193
1366	NNNNNN	V3C99_001193
1367	NNNNNN	V3C99_001193
1368	glr-2	V3C99_001194
1369	clpf-1	V3C99_001195
1370	NNNNNN	V3C99_001196
1371	NNNNNN	V3C99_001197
1372	NNNNNN	V3C99_001197
1373	doxa-1	V3C99_001198
1374	nhl-1	V3C99_001199
1375	ZK512.4	V3C99_001200
1376	klp-19	V3C99_001201
1377	ceh-10	V3C99_001203
1378	polq-1	V3C99_001204
1379	rev-3	V3C99_001205
1387	NNNNNN	V3C99_001206
1388	NNNNNN	V3C99_001207
1389	mls-2	V3C99_001208
1391	rom-1	V3C99_001212
1393	NNNNNN	V3C99_001215
1394	txbp-3	V3C99_001216
1396	lon-3	V3C99_001218
1397	rol-6	V3C99_001218
1398	NNNNNN	V3C99_001219
1399	NNNNNN	V3C99_001224
1400	tra-1	V3C99_001226
1401	dpy-18	V3C99_001230
1402	dpy-18	V3C99_001231
1403	npr-17	V3C99_001233
1405	smrc-1	V3C99_001236
1406	NNNNNN	V3C99_001237
1407	C56A3.6	V3C99_001238
1408	larp-1	V3C99_001239
1409	nekl-4	V3C99_001240
1410	let-765	V3C99_001241
1411	set-1	V3C99_001242
1412	T26A5.6	V3C99_001243
1413	let-721	V3C99_001244
1414	mel-32	V3C99_001245
1415	ptr-9	V3C99_001246
1416	sap-140	V3C99_001247
1419	F10E9.11	V3C99_001250
1428	NNNNNN	V3C99_001252
1429	NNNNNN	V3C99_001254
1431	egl-45	V3C99_001256
1432	kcmf-1	V3C99_001258
1436	NNNNNN	V3C99_001260
1437	NNNNNN	V3C99_001261
1438	mrpl-12	V3C99_001263
1439	Y39A1A.22	V3C99_001264
1440	Y39A1A.21	V3C99_001265
1441	NNNNNN	V3C99_001266
1442	NNNNNN	V3C99_001267
1443	NNNNNN	V3C99_001268
1444	mrpl-12	V3C99_001269
1445	Y39A1A.22	V3C99_001270
1446	NNNNNN	V3C99_001271
1447	NNNNNN	V3C99_001272
1450	aco-2	V3C99_001274
1451	eef-1B.1	V3C99_001275
1482	cua-1	V3C99_001280
1483	cua-1	V3C99_001281
1484	abcf-2	V3C99_001282
1485	NNNNNN	V3C99_001283
1486	ant-1.1	V3C99_001284
1487	ant-1.2	V3C99_001284
1488	ant-1.3	V3C99_001284
1489	ant-1.4	V3C99_001284
1491	gsto-2	V3C99_001285
1492	gsto-1	V3C99_001285
1493	C02D5.4	V3C99_001285
1494	NNNNNN	V3C99_001286
1495	maa-1	V3C99_001287
1496	popl-5	V3C99_001288
1498	nars-2	V3C99_001289
1499	NNNNNN	V3C99_001290
1500	NNNNNN	V3C99_001290
1501	dnc-2	V3C99_001294
1503	grk-2	V3C99_001303
1504	C24A3.1	V3C99_001304
1505	Y66D12A.21	V3C99_001305
1506	tin-10	V3C99_001306
1507	NNNNNN	V3C99_001307
1508	NNNNNN	V3C99_001308
1510	pdcd-2	V3C99_001311
1513	ncl-1	V3C99_001314
1514	rpb-8	V3C99_001315
1515	rars-1	V3C99_001316
1516	ZK512.2	V3C99_001318
1517	NNNNNN	V3C99_001319
1518	slc-17.2	V3C99_001320
1521	brc-1	V3C99_001326
1523	acs-19	V3C99_001327
1524	pigt-1	V3C99_001329
1525	clp-2	V3C99_001330
1526	dscc-1	V3C99_001331
1527	glr-1	V3C99_001332
1544	NNNNNN	V3C99_001338
1545	eat-4	V3C99_001342
1548	byn-1	V3C99_001346
1549	coq-2	V3C99_001347
1550	rfc-2	V3C99_001348
1551	flap-1	V3C99_001349
1552	NNNNNN	V3C99_001350
1553	C27F2.4	V3C99_001352
1554	vps-22	V3C99_001353
1555	C27F2.9	V3C99_001354
1556	ntl-9	V3C99_001355
1557	mrps-18C	V3C99_001356
1558	fsn-1	V3C99_001357
1559	rpb-2	V3C99_001358
1562	cts-1	V3C99_001377
1566	NNNNNN	V3C99_001379
1567	NNNNNN	V3C99_001379
1568	gldi-9	V3C99_001380
1569	cnk-1	V3C99_001381
1570	pad-2	V3C99_001381
1571	R01H10.7	V3C99_001382
1572	bbs-5	V3C99_001383
1573	ina-1	V3C99_001385
1574	tax-4	V3C99_001386
1575	NNNNNN	V3C99_001389
1576	NNNNNN	V3C99_001390
1577	NNNNNN	V3C99_001391
1579	slc-25A10	V3C99_001395
1580	NNNNNN	V3C99_001396
1581	Y67D2.5	V3C99_001399
1582	cisd-3.2	V3C99_001400
1583	rpc-11	V3C99_001401
1584	NNNNNN	V3C99_001402
1585	Y82E9BR.14	V3C99_001404
1586	Y82E9BR.3	V3C99_001405
1590	rsp-8	V3C99_001410
1591	cwf-19L2	V3C99_001411
1592	NNNNNN	V3C99_001413
1593	pef-1	V3C99_001414
1594	NNNNNN	V3C99_001416
1595	wip-1	V3C99_001417
1596	mdt-11	V3C99_001418
1597	NNNNNN	V3C99_001419
1598	R144.13	V3C99_001420
1599	Y22D7AL.10	V3C99_001421
1600	hsp-60	V3C99_001422
1602	Y71H2AM.2	V3C99_001429
1603	hipr-1	V3C99_001429
1604	alkb-8	V3C99_001432
1605	ears-2	V3C99_001433
1606	rpn-13	V3C99_001434
1607	let-767	V3C99_001435
1609	stdh-1	V3C99_001435
1610	stdh-3	V3C99_001435
1612	NNNNNN	V3C99_001436
1613	mua-3	V3C99_001437
1616	NNNNNN	V3C99_001439
1617	rps-28	V3C99_001441
1618	elpc-2	V3C99_001442
1619	hmg-3	V3C99_001443
1620	hmg-4	V3C99_001443
1621	scav-3	V3C99_001444
1622	T20B12.7	V3C99_001447
1623	mml-1	V3C99_001448
